,theta_min,theta_max,t_min,t_max,velocity,Peak Stress (MPa),Strain Energy Density (MPa)
0,0.9332,1.4822,2.59153,0.9939,0.0,0.74977,0.13977
1,1.5665,1.5472,2.2993,1.08162,0.0,0.34869,0.07186
2,1.0963,1.2488,1.36207,2.24614,0.0,0.38119,0.12755
3,1.3223,0.8613,1.01014,2.5983,0.0,0.70156,0.15535
4,1.3342,1.0808,1.45496,2.1396,0.0,0.36792,0.12347
5,0.8921,1.5471,1.71776,1.81364,0.0,0.48058,0.1242
6,1.1915,1.5599,1.13245,2.35858,0.0,0.34084,0.09109
7,1.1802,1.3139,1.95924,1.62229,0.0,0.36993,0.10889
8,1.337,1.4432,1.40965,2.09343,0.0,0.28788,0.08492
9,0.996,1.4108,1.81535,1.75979,0.0,0.44347,0.12542
10,1.3129,1.5584,1.07336,2.38999,0.0,0.28944,0.075
11,1.1524,1.3853,1.81035,1.75543,0.0,0.33056,0.09612
12,1.1624,1.0263,1.88697,1.73412,0.0,0.56065,0.15408
13,1.3991,1.0924,1.86081,1.70852,0.0,0.32417,0.11275
14,1.3472,0.973,0.91726,2.70213,0.0,0.77287,0.14931
15,1.2217,1.0879,2.24558,1.3684,0.0,0.44659,0.13533
16,1.3367,1.0291,1.1275,2.48215,0.0,0.60978,0.13407
17,1.4106,1.3956,1.01169,2.49835,0.0,0.47256,0.09735
18,1.0469,1.4466,1.75179,1.80855,0.0,0.33657,0.11426
19,1.0612,1.271,1.82418,1.77989,0.0,0.4692,0.12744
20,1.1813,0.8177,1.86866,1.73036,0.0,0.54149,0.17339
21,1.1565,1.2778,1.48396,2.10918,0.0,0.42266,0.11776
22,1.2533,1.184,2.33254,1.26608,0.0,0.40567,0.11853
23,1.5274,1.188,2.32206,1.18423,0.0,0.32471,0.09025
24,0.8246,1.2346,1.3423,2.26034,0.0,0.5575,0.1765
25,1.218,0.8305,2.62818,0.99031,0.0,0.7948,0.17318
26,1.121,1.4781,1.87917,1.66412,0.0,0.31066,0.10079
27,1.137,0.9388,1.9306,1.68951,0.0,0.48287,0.17556
28,1.1309,1.3769,2.84517,0.76441,0.0,0.84211,0.11492
29,0.9427,1.0199,2.49444,1.13627,0.0,0.60152,0.17626
30,1.0022,1.0574,2.29012,1.34119,0.0,0.6034,0.17365
31,1.2312,1.0672,1.32806,2.29008,0.0,0.41344,0.13066
32,0.9526,1.1438,1.21283,2.41672,0.0,0.67909,0.16557
33,1.5395,1.0956,1.2244,2.31911,0.0,0.38896,0.11159
34,0.939,1.1673,2.7686,0.87196,0.0,0.73836,0.16841
35,1.1434,0.8109,1.39062,2.20917,0.0,0.57318,0.17409
36,1.3984,0.8392,1.89271,1.67779,0.0,0.45578,0.14384
37,1.1036,0.9899,2.94342,0.71239,0.0,0.93191,0.15209
38,0.9716,1.2746,1.37458,2.23366,0.0,0.55579,0.15755
39,0.9183,1.2228,1.18145,2.43827,0.0,0.74683,0.16822
40,1.2998,0.9713,1.89141,1.70935,0.0,0.53729,0.14148
41,0.9753,1.1778,2.7904,0.85338,0.0,0.79412,0.15297
42,1.4261,1.4643,1.64351,1.82136,0.0,0.22406,0.07239
43,1.4758,1.1265,2.55786,0.98438,0.0,0.40454,0.10654
44,1.5351,1.3505,2.22896,1.23286,0.0,0.37106,0.07947
45,1.0508,1.2705,1.27686,2.33191,0.0,0.44447,0.14024
46,1.0006,1.4765,1.21643,2.33579,0.0,0.35253,0.12501
47,1.3203,1.4001,2.07747,1.44902,0.0,0.32708,0.08884
48,1.3652,1.2925,0.83621,2.73139,0.0,0.85459,0.11214
49,1.2053,1.3671,1.6411,1.9192,0.0,0.31321,0.09997
50,1.2367,1.4037,1.97858,1.56741,0.0,0.41466,0.10134
51,1.3967,1.1798,1.98131,1.57471,0.0,0.27267,0.09934
52,0.8998,1.5377,2.68741,0.88905,0.0,0.83945,0.14194
53,1.4254,1.2299,1.31992,2.22788,0.0,0.37146,0.09783
54,0.8625,0.907,2.77658,0.83576,0.0,0.96071,0.19716
55,0.9547,1.2137,1.7785,1.83556,0.0,0.55224,0.17179
56,0.9276,1.2112,1.17308,2.44911,0.0,0.6495,0.16363
57,1.2073,1.2352,1.23838,2.36137,0.0,0.373,0.11604
58,1.3553,1.4499,1.62222,1.87186,0.0,0.23456,0.07733
